VMName,Host,vCPUs,RAM,Storage,Used,Available,VM Installed On,OS
DEMO-JENKINS-2.203,C2-BLD08-CXS-28,2,8,180,,,,
DSN-MQM-2.18,,2,4,65,,,, CentOS release 6.5 (Final)
MTG-MYSQLCLTEST-2.42,C2-BLD14-CXS-34,2,5,100,65,27,Install Date: Fri 28 Aug 2015, CentOS release 6.2 (Final)
VH-DEMAZEAPP-1.229,C2-BLD02-CXS-22,6,16,80,61,11,Install Date: Tue 20 Feb 2018, Red Hat Enterprise Linux Server release 6.3 (Santiago)
RND-DYNAMIC-1.64,,0,8,100,,,,
Control domain on host: C2-BLD14-CXS34,C2-BLD14-CXS-34,0,4,0,,,,
KUONI-DB-2.173,C2-BLD03-CXS-23,2,10,200,141,40,Install Date: Fri 27 Jan 2017, Red Hat Enterprise Linux Server release 6.3 (Santiago)
EK-BUILD2-2.167,C2-BLD14-CXS-34,6,8,100,,,,
ITD-LOGANALYZER-2.196,C2-BLD08-CXS-28,4,8,400,,,,
DSN-GRINDERDB-2.89,C2-BLD13-CXS-33,2,8,165,60,87,Install Date: Thu 19 Nov 2015, Red Hat Enterprise Linux Server release 6.6 (Santiago)
TC-APP-3.59,C2-BLD02-CXS-22,6,8,100,40,51,Install Date: Fri 13 May 2016, CentOS release 6.2 (Final)
RND-ELASTICSEARCH-2.143,C2-BLD12-CXS-32,2,16,150,84,42,, Ubuntu 14.04.3 LTS
DSN-R2API-2.207,C2-BLD12-CXS-32,6,16,166,83,51,Install Date: Thu 25 Aug 2016, Red Hat Enterprise Linux Server release 6.8 (Santiago)
RCCL-ES-1.186,C2-BLD13-CXS-33,3,5,50,27,19,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-DOCKER-2.226,C2-BLD14-CXS-34,6,22,320,269,23,Install Date: Thu 27 Jun 2019, Red Hat Enterprise Linux Server release 7.5 (Maipo)
FZ-APP-3.8,C2-BLD02-CXS-22,6,14,220,145,70,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-R2API-2.225,C2-BLD12-CXS-32,6,18,160,54,89,Install Date: Fri 20 Jan 2017, Red Hat Enterprise Linux Server release 6.8 (Santiago)
TC-AUTOMATION-2.72,C2-BLD14-CXS-34,3,12,120,,,, Microsoft Windows 7 Professional |C
SUPP-ANSIBLEJENKINS-1.168,,8,10,100,,,, CentOS release 6.5 (Final)
EK-QA-1.27,C2-BLD10-CXS-30,2,15,150,28,105,Install Date: Wed 26 Jun 2013, Red Hat Enterprise Linux Server release 6.3 (Santiago)
TA-V4DB-2.154,C2-BLD03-CXS-23,2,8,200,179,0,Install Date: Mon 02 May 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
TC-DB-2.238,C2-BLD03-CXS-23,4,26,400,270,97,Install Date: Fri 27 Jan 2017, Red Hat Enterprise Linux Server release 6.3 (Santiago)
VH-DB-1.211,C2-BLD12-CXS-32,4,8,200,173,6.4,Install Date: Fri 27 Jan 2017,
VH-DB-3.54-New-4.190,C2-BLD14-CXS-34,4,8,500,335,125,Install Date: Fri 27 Jan 2017, Red Hat Enterprise Linux Server release 6.3 (Santiago)
ADMIN-HRMSPULSE-1.85,C2-BLD08-CXS-28,4,8,250,,,, CentOS release 6.5 (Final)
VH-DB-1.36,C2-BLD03-CXS-23,4,8,800,507,230,Install Date: Wed 26 Feb 2014, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-NFR-4.72,C2-BLD08-CXS-28,6,18,166,127,5.4,Install Date: Thu 25 Aug 2016, Red Hat Enterprise Linux Server release 6.8 (Santiago)
QA-TraineeEnvDB-4.210,C2-BLD04-CXS-24,4,8,300,137,136,Install Date: Fri 27 Jan 2017,
WZT-REPLICA-2.53,,2,8,70,,,, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-GIMDEVDB-2.54,C2-BLD03-CXS-23,4,12,80,66,5.3,Install Date: Mon 11 Jun 2018,
COMMON-GITLABTEST-1.42,,0,4,30,,,,
R&D-LOGSTASH-1.71,C2-BLD03-CXS-23,4,15,100,52,35,, Ubuntu 16.04.5 LTS
FDM-APP-0.166,C2-BLD13-CXS-33,4,10,100,54,38,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
ADMIN-NEWIE-2.15,,0,7,60,,,, CentOS release 6.5 (Final)
DSN-APP-1.214,,4,6,100,,,, Red Hat Enterprise Linux Server release 6.3 (Santiago)
EK-APP-4.249,C2-BLD12-CXS-32,4,8,100,46,44,Install Date: Thu 12 Dec 2019, Red Hat Enterprise Linux Server release 6.3 (Santiago)
RCCL-ES-1.187,C2-BLD13-CXS-33,3,5,50,5.4,40,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-REGR2BDB-2.236,C2-BLD13-CXS-33,10,32,550,475,41,Install Date: Mon 11 Jun 2018,
VH-DB-1.196,C2-BLD12-CXS-32,4,10,600,430,124,Install Date: Fri 27 Jan 2017, Red Hat Enterprise Linux Server release 6.3 (Santiago)
VH-DB-2.209,C2-BLD03-CXS-23,2,8,600,343,211,Install Date: Fri 27 Jan 2017,
RCCL-DB-1.190,C2-BLD12-CXS-32,4,8,210,47,141,Install Date: Fri 13 May 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DA-LIVEWEB-2.139,C2-BLD13-CXS-33,2,8,150,8.4,128,Install Date: Fri 28 Sep 2018, Red Hat Enterprise Linux Server release 6.9 (Santiago)
TTF-DB-2.155,,0,18,150,,,, Red Hat Enterprise Linux Server release 6.3 (Santiago)
COMMON-VKB-2.17,C2-BLD04-CXS-24,4,7,500,338,123,Install Date: Fri 17 Apr 2015, CentOS release 6.6 (Final)
VH-TBXCENTRAL-2.127,,6,8,100,,,, CentOS release 6.2 (Final)
Control domain on host: C2-BLD12-CXS-32,C2-BLD12-CXS-32,0,4,200,,,,
VH-APP-1.136,C2-BLD13-CXS-33,4,15,550,40,471,Install Date: Thu 17 Aug 2017, CentOS release 6.2 (Final)
GIT-STAT-4.67,C2-BLD02-CXS-22,2,4,50,,,,
RCCL-AUTOMATION-2.220,C2-BLD10-CXS-30,4,16,120,,,,
SUPP-TERMINAL-2.224,C2-BLD04-CXS-24,4,15,300,,,, Microsoft Windows 7 Professional |C
